ReadingID,AnimalID,AnimalType,AnimalName,Longitude,Latitude,Timestamp
0,1,0,Lion,76.871651,11.757488,2025-08-06 20:49:45
0,2,1,Tiger,76.607862,11.607605,2025-08-06 20:49:45
0,3,2,Bear,76.736467,11.862874,2025-08-06 20:49:45
0,4,3,Wolf,76.325571,11.899643,2025-08-06 20:49:45
0,5,4,Elephant,76.879235,11.999084,2025-08-06 20:49:45
0,6,5,Giraffe,76.827601,11.837776,2025-08-06 20:49:45
0,7,6,Zebra,76.763683,11.718412,2025-08-06 20:49:45
0,8,7,Rhino,76.791049,11.786810,2025-08-06 20:49:45
0,9,8,Buffalo,76.415104,11.851106,2025-08-06 20:49:45
0,10,9,Hippo,76.720551,11.944383,2025-08-06 20:49:45
0,11,0,Lion,76.566781,11.904453,2025-08-06 20:49:45
0,12,1,Tiger,76.240547,11.832624,2025-08-06 20:49:45
0,13,2,Bear,76.866182,11.987609,2025-08-06 20:49:45
0,14,3,Wolf,76.327302,11.721903,2025-08-06 20:49:45
0,15,4,Elephant,76.538240,11.724747,2025-08-06 20:49:45
0,16,5,Giraffe,76.352467,11.748991,2025-08-06 20:49:45
0,17,6,Zebra,76.652254,11.618995,2025-08-06 20:49:45
0,18,7,Rhino,76.459966,11.892294,2025-08-06 20:49:45
0,19,8,Buffalo,76.489254,11.729606,2025-08-06 20:49:45
0,20,9,Hippo,76.548323,11.766643,2025-08-06 20:49:45
0,21,0,Lion,76.456996,11.924912,2025-08-06 20:49:45
0,22,1,Tiger,76.779897,11.800128,2025-08-06 20:49:45
0,23,2,Bear,76.549242,11.773638,2025-08-06 20:49:45
0,24,3,Wolf,76.489319,11.955406,2025-08-06 20:49:45
0,25,4,Elephant,76.496197,11.936937,2025-08-06 20:49:45
0,26,5,Giraffe,76.412860,11.958068,2025-08-06 20:49:45
0,27,6,Zebra,76.403098,11.923655,2025-08-06 20:49:45
0,28,7,Rhino,76.210361,11.994543,2025-08-06 20:49:45
0,29,8,Buffalo,76.323692,11.671499,2025-08-06 20:49:45
0,30,9,Hippo,76.401987,11.842048,2025-08-06 20:49:45
0,31,0,Lion,76.365691,11.816413,2025-08-06 20:49:45
0,32,1,Tiger,76.691498,11.793023,2025-08-06 20:49:45
0,33,2,Bear,76.474706,11.712674,2025-08-06 20:49:45
0,34,3,Wolf,76.297757,11.736674,2025-08-06 20:49:45
0,35,4,Elephant,76.794040,11.666445,2025-08-06 20:49:45
0,36,5,Giraffe,76.666866,11.759917,2025-08-06 20:49:45
0,37,6,Zebra,76.346678,11.644923,2025-08-06 20:49:45
0,38,7,Rhino,76.785922,11.830512,2025-08-06 20:49:45
0,39,8,Buffalo,76.536872,11.723905,2025-08-06 20:49:45
0,40,9,Hippo,76.871310,11.924607,2025-08-06 20:49:45
0,41,0,Lion,76.717689,11.736015,2025-08-06 20:49:45
0,42,1,Tiger,76.452574,11.761382,2025-08-06 20:49:45
0,43,2,Bear,76.721812,11.782354,2025-08-06 20:49:45
0,44,3,Wolf,76.324204,11.907187,2025-08-06 20:49:45
0,45,4,Elephant,76.402222,11.869759,2025-08-06 20:49:45
0,46,5,Giraffe,76.687033,11.811689,2025-08-06 20:49:45
0,47,6,Zebra,76.579855,11.936546,2025-08-06 20:49:45
0,48,7,Rhino,76.751100,11.738688,2025-08-06 20:49:45
0,49,8,Buffalo,76.344670,11.728825,2025-08-06 20:49:45
0,50,9,Hippo,76.522004,11.753740,2025-08-06 20:49:45
1,1,0,Lion,76.707648,11.790277,2025-08-06 21:49:45
1,2,1,Tiger,76.242512,11.931504,2025-08-06 21:49:45
1,3,2,Bear,76.450032,11.827595,2025-08-06 21:49:45
1,4,3,Wolf,76.311301,11.745024,2025-08-06 21:49:45
1,5,4,Elephant,76.466952,11.714225,2025-08-06 21:49:45
1,6,5,Giraffe,76.650630,11.999597,2025-08-06 21:49:45
1,7,6,Zebra,76.352361,11.794952,2025-08-06 21:49:45
1,8,7,Rhino,76.245119,11.673562,2025-08-06 21:49:45
1,9,8,Buffalo,76.721876,11.753679,2025-08-06 21:49:45
1,10,9,Hippo,76.723115,11.828852,2025-08-06 21:49:45
1,11,0,Lion,76.620658,11.907077,2025-08-06 21:49:45
1,12,1,Tiger,76.702756,11.753227,2025-08-06 21:49:45
1,13,2,Bear,76.713309,11.786419,2025-08-06 21:49:45
1,14,3,Wolf,76.874664,11.897409,2025-08-06 21:49:45
1,15,4,Elephant,76.202115,11.870296,2025-08-06 21:49:45
1,16,5,Giraffe,76.242811,11.968993,2025-08-06 21:49:45
1,17,6,Zebra,76.271245,11.730509,2025-08-06 21:49:45
1,18,7,Rhino,76.695984,11.945958,2025-08-06 21:49:45
1,19,8,Buffalo,76.603119,11.653859,2025-08-06 21:49:45
1,20,9,Hippo,76.330998,11.972301,2025-08-06 21:49:45
1,21,0,Lion,76.364281,11.802118,2025-08-06 21:49:45
1,22,1,Tiger,76.400320,11.698025,2025-08-06 21:49:45
1,23,2,Bear,76.707477,11.972802,2025-08-06 21:49:45
1,24,3,Wolf,76.705319,11.826362,2025-08-06 21:49:45
1,25,4,Elephant,76.586670,11.623280,2025-08-06 21:49:45
1,26,5,Giraffe,76.607392,11.630335,2025-08-06 21:49:45
